pos_data(lat=-25.7453377, long=28.247506599999998, heading=236.94194000000002, speed=1.52)
pos_data(lat=-25.745338399999998, long=28.2475053, heading=237.4044, speed=1.5)
pos_data(lat=-25.7453391, long=28.247504, heading=236.67630000000003, speed=1.46)
pos_data(lat=-25.7453406, long=28.2475015, heading=236.95363000000003, speed=1.48)
pos_data(lat=-25.7453412, long=28.2475001, heading=240.067, speed=1.47)
pos_data(lat=-25.7453419, long=28.247498699999998, heading=241.00333000000003, speed=1.51)
pos_data(lat=-25.7453424, long=28.2474973, heading=245.20712000000003, speed=1.46)
pos_data(lat=-25.745342899999997, long=28.247495899999997, heading=246.87577000000002, speed=1.5)
pos_data(lat=-25.7453433, long=28.247494399999997, heading=251.14526, speed=1.52)
pos_data(lat=-25.745343599999998, long=28.247492899999997, heading=252.51368000000002, speed=1.53)
pos_data(lat=-25.745343899999998, long=28.247491399999998, heading=255.66403000000003, speed=1.5)
pos_data(lat=-25.7453441, long=28.247489899999998, heading=258.94676000000004, speed=1.47)
pos_data(lat=-25.745344199999998, long=28.247488399999998, heading=262.31459, speed=1.49)
pos_data(lat=-25.745344199999998, long=28.2474869, heading=265.08276, speed=1.48)
pos_data(lat=-25.745344199999998, long=28.2474854, heading=266.81623, speed=1.52)
pos_data(lat=-25.7453441, long=28.2474839, heading=272.01329000000004, speed=1.48)
pos_data(lat=-25.7453437, long=28.247480799999998, heading=276.25501, speed=1.52)
pos_data(lat=-25.7453435, long=28.2474793, heading=278.74409, speed=1.44)
pos_data(lat=-25.745343199999997, long=28.2474778, heading=280.31419, speed=1.57)
pos_data(lat=-25.745342599999997, long=28.2474763, heading=284.99429000000003, speed=1.56)
pos_data(lat=-25.7453422, long=28.2474748, heading=287.13337, speed=1.49)
pos_data(lat=-25.745341699999997, long=28.247473399999997, heading=289.53385000000003, speed=1.52)
pos_data(lat=-25.745341, long=28.2474721, heading=294.50448, speed=1.49)
pos_data(lat=-25.7453403, long=28.247470699999997, heading=296.27732000000003, speed=1.53)
pos_data(lat=-25.745339599999998, long=28.2474694, heading=299.10554, speed=1.48)
pos_data(lat=-25.745338699999998, long=28.2474682, heading=302.98435, speed=1.51)
pos_data(lat=-25.7453379, long=28.2474669, heading=304.41405000000003, speed=1.56)
pos_data(lat=-25.745337, long=28.247465599999998, heading=304.58726, speed=1.53)
pos_data(lat=-25.7453359, long=28.247464599999997, heading=311.67817, speed=1.59)
pos_data(lat=-25.7453349, long=28.247463399999997, heading=312.19379000000004, speed=1.57)
pos_data(lat=-25.7453327, long=28.247461299999998, heading=318.75083, speed=1.57)
pos_data(lat=-25.7453315, long=28.2474603, heading=320.15577, speed=1.58)
pos_data(lat=-25.745330499999998, long=28.2474593, heading=320.1005, speed=1.57)
pos_data(lat=-25.7453292, long=28.2474584, heading=323.39134, speed=1.61)
pos_data(lat=-25.7453282, long=28.2474574, heading=321.51687000000004, speed=1.5)
